Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-11-30T05:00:00Z,BA,0,48,Market On Open,Invalid,0, 
2020-11-30T05:00:00Z,MU,62.96454163,-31,Market On Open,Filled,-1951.900791, 
2020-12-02T21:00:00Z,CRM,0,-5,Market On Open,Canceled,0,Liquidated 
2020-12-03T05:00:00Z,CRM,222.7398161,-5,Market On Open,Filled,-1113.699081,Liquidated 
2020-12-03T05:00:00Z,ROKU,281.96,20,Market On Open,Filled,5639.2, 
2020-12-03T05:00:00Z,TSLA,0,70,Market On Open,Invalid,0, 
2020-12-03T05:00:00Z,BA,0,24,Market On Open,Invalid,0, 
2020-12-03T05:00:00Z,SQ,207,1,Market On Open,Filled,207, 
2020-12-03T05:00:00Z,MU,68.97231078,15,Market On Open,Filled,1034.584662, 
2020-12-03T05:00:00Z,AMD,94.06,-3,Market On Open,Filled,-282.18, 
2020-12-07T21:00:00Z,TSLA,0,65,Market On Open,Invalid,0, 
2020-12-07T21:00:00Z,BA,0,47,Market On Open,Invalid,0, 
2020-12-07T21:00:00Z,ROKU,300.22,-21,Market On Open,Filled,-6304.62, 
2020-12-07T21:00:00Z,MU,70.2206784,24,Market On Open,Filled,1685.296282, 
2020-12-07T21:00:00Z,C,47.6057982,3,Market On Open,Filled,142.8173946, 
2020-12-07T21:00:00Z,WFC,25.66135776,3,Market On Open,Filled,76.98407328, 
2020-12-07T21:00:00Z,DIS,148.8350222,1,Market On Open,Filled,148.8350222, 
2020-12-10T21:00:00Z,TSLA,0,67,Market On Open,Invalid,0, 
2020-12-10T21:00:00Z,ROKU,321.2,16,Market On Open,Filled,5139.2, 
2020-12-10T21:00:00Z,BA,0,24,Market On Open,Invalid,0, 
2020-12-10T21:00:00Z,MU,68.6894775,-23,Market On Open,Filled,-1579.857982, 
2020-12-10T21:00:00Z,C,49.527257,-13,Market On Open,Filled,-643.854341, 
2020-12-10T21:00:00Z,WFC,25.58199274,-21,Market On Open,Filled,-537.2218475, 
2020-12-14T05:00:00Z,TSLA,0,69,Market On Open,Invalid,0, 
